PersonnelID,Age,YearsOfService,Rank,Specialization,PerformanceRating,TrainingCoursesCompleted,MissionSuccessRate,MedicalFitnessScore,PeerReviewScore,CommandersAssessment,AttritionRisk,LeadershipPotential
IAF3302,28,6,Flight Lieutenant,Engineer,4,5,92.1,98,4.1,4.2,Low,High
IAF3303,42,20,Wing Commander,Admin,5,12,99.2,92,4.8,4.9,Medium,High
IAF3304,25,3,Flying Officer,Ground Staff,3,2,85.3,99,3.5,3.1,Medium,Medium
IAF3305,33,11,Squadron Leader,Medical,2,4,75.4,85,2.9,2.5,High,Low
IAF3306,38,16,Wing Commander,Pilot,5,10,97.8,96,4.7,4.8,Low,High
IAF3307,29,7,Flight Lieutenant,Engineer,4,6,93.5,97,4.3,4.4,Low,High
IAF3308,45,23,Group Captain,Admin,3,15,88.9,89,3.8,3.5,Medium,Medium
IAF3309,26,4,Flying Officer,Ground Staff,2,1,78.2,94,3.1,2.8,High,Low
IAF3310,31,9,Squadron Leader,Medical,4,7,94.6,93,4.2,4.5,Low,High
IAF3311,36,14,Squadron Leader,Pilot,5,9,98.9,94,4.6,4.9,Low,High
IAF3312,27,5,Flight Lieutenant,Engineer,3,4,89.3,98,3.7,3.4,Medium,Medium
IAF3313,43,21,Wing Commander,Admin,2,11,82.1,88,3,2.9,High,Low
IAF3314,24,2,Flying Officer,Ground Staff,4,3,91.5,100,4,4.1,Low,High
IAF3315,34,12,Squadron Leader,Medical,5,8,96.7,91,4.5,4.7,Low,High
IAF3316,39,17,Wing Commander,Pilot,3,11,87.6,90,3.6,3.3,Medium,Medium
IAF3317,30,8,Flight Lieutenant,Engineer,2,5,79.8,95,2.8,2.6,High,Low
IAF3318,46,24,Group Captain,Ground Staff,5,16,99.5,87,4.9,5,Low,High
IAF3319,23,1,Flying Officer,Ground Staff,3,1,88,99,3.4,3.2,Medium,Medium
IAF3320,32,10,Squadron Leader,Medical,4,6,95.2,92,4.3,4.6,Low,High
IAF3321,37,15,Wing Commander,Pilot,5,10,98.1,95,4.7,4.9,Low,High
IAF3322,28,6,Flight Lieutenant,Engineer,4,5,92.8,97,4.2,4.3,Low,High
IAF3323,44,22,Wing Commander,Admin,2,13,81.4,86,2.9,2.7,High,Low
IAF3324,25,3,Flying Officer,Ground Staff,3,2,86.1,98,3.5,3.3,Medium,Medium
IAF3325,35,13,Squadron Leader,Medical,5,9,97.3,93,4.6,4.8,Low,High
IAF3326,40,18,Wing Commander,Pilot,4,12,94,91,4.4,4.5,Low,High
IAF3327,29,7,Flight Lieutenant,Engineer,2,4,80.5,96,2.7,2.5,High,Low
IAF3328,47,25,Group Captain,Admin,3,17,89.5,85,3.9,3.6,Medium,Medium
IAF3329,26,4,Flying Officer,Ground Staff,4,3,90.8,99,4,4.2,Low,High
IAF3330,33,11,Squadron Leader,Medical,5,7,96.1,92,4.5,4.7,Low,High
IAF3331,38,16,Wing Commander,Pilot,2,9,83.2,89,3.1,3,High,Low
IAF3332,31,9,Flight Lieutenant,Engineer,5,6,98.3,98,4.8,4.9,Low,High
IAF3333,41,19,Wing Commander,Admin,4,14,93.3,88,4.3,4.4,Low,High
IAF3334,27,5,Flying Officer,Ground Staff,3,2,87.2,100,3.6,3.4,Medium,Medium
IAF3335,36,14,Squadron Leader,Medical,2,8,78.9,90,2.9,2.8,High,high
IAF3336,39,17,Wing Commander,Pilot,5,11,99,93,4.9,5,Low,High
IAF3337,30,8,Flight Lieutenant,Engineer,4,5,91.7,97,4.1,4.2,Low,High
IAF3338,45,23,Group Captain,Admin,3,15,88.4,86,3.8,3.5,Medium,Medium
IAF3339,24,2,Flying Officer,Ground Staff,2,1,80.1,99,3,2.9,High,Low
IAF3340,34,12,Squadron Leader,Medical,5,8,97.9,91,4.7,4.8,Low,High
